"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"302";"Very low emission hybrid electric vehicle incorporating an integrated propulsion system including a fuel cell and a high power nickel metal hydride battery pack";"OVSHINSKY STANFORD R [US] 
STEMPEL ROBERT C [US]";"OVONIC BATTERY CO [US]";"US2003129459A1 
US7226675B2";"2000-03-13";"B60L11/18 
H01M10/46 
H01M10/50 
H01M16/00 
H01M2/16 
H01M4/58 
H01M4/90 
B60L11/18 
C01B13/02 
C01B3/00 
C01B6/24 
C22C14/00 
C22C19/00 
H01M10/46 
H01M10/50 
H01M16/00 
H01M2/16 
H01M4/58 
H01M4/86 
H01M4/88 
H01M4/90 
H01M8/02 
H01M8/04 
H01M8/06 
H01M8/08 
H01M8/18 
H01M12/00";"B60L50/72 (EP,US) 
C01B13/02 (EP,US) 
C01B3/0031 (EP,US) 
H01M4/86 (EP,US) 
H01M4/8615 (EP,US) 
H01M4/90 (EP,US) 
H01M4/9041 (EP,US) 
H01M8/0267 (US) 
H01M8/04225 (EP,US) 
H01M8/04291 (EP,US) 
H01M8/065 (EP,US) 
H01M8/08 (EP,US) 
H01M8/184 (EP,US) 
H01M8/186 (EP,US) 
H01M2004/8684 (EP,US) 
H01M2004/8689 (EP,US) 
H01M8/0668 (EP,US) 
H01M8/083 (EP,US) 
Y02E60/32 (EP,US) 
Y02E60/50 (EP,US) 
Y02T10/70 (US) 
Y02T90/40 (EP,US) 
Y10S420/90 (EP,US)";"2003-07-10 
2007-06-05";"2002-04-18";"024761550";
"303";"Multifunctional comprehensive energy system of hydrogen fuel cell";"GUO LEI 
ZHAO TING 
LU YING 
LI SUXUAN 
LI HUISHOU 
ZHAO QUNPO 
SUN FULONG 
BAO ZHIGANG";"HYDROGEN POWER ENERGY TECH SHANGHAI CO LTD";"CN220865257U";"2023-10-23";"B60L53/51 
B60L53/53 
B60L53/54 
H02J3/38 
H02J7/00 
H02J7/34 
H02J7/35";"";"2024-04-30";"2024-04-30";"090813500";
"304";"Battery management system, hybrid power system and hybrid electric vehicle";"WU CHAO 
CHUAN LIFENG 
LIU WEILONG 
REN JI";"SHANDONG AEROSPACE WEINENG TECH CO LTD";"CN217124601U";"2022-04-18";"B60L50/75 
B60L58/40";"";"2022-08-05";"2022-08-05";"082649732";
"305";"Electric scooter with on-board charging system";"HUGHES PETER S [US] 
BALDWIN JAMES DANIEL [US]";"VECTRIX CORP [US]";"US6326765B1";"2000-10-04";"H01M10/46 
B60L11/18 
B60L50/15 
B62J11/00 
B62J9/00 
B62J99/00 
B62M23/02 
B62M7/00 
H01M10/46 
H01M8/00 
H02J7/00";"B60L15/007 (EP,US) 
B60L50/50 (KR) 
B60L50/53 (EP,US) 
B60L50/64 (EP,US) 
B60L50/66 (EP,US) 
B60L53/11 (EP,US) 
B60L53/14 (EP,US) 
B60L58/33 (EP,US) 
B60L58/40 (EP,US) 
B62M7/12 (EP,US) 
B60L2200/12 (EP,US) 
B62K2202/00 (EP,US) 
B62K2204/00 (EP,US) 
H01M2250/00 (EP,US) 
H01M2250/20 (EP,US) 
H01M2250/402 (EP,US) 
H01M2250/407 (EP,US) 
Y02B90/10 (EP,US) 
Y02E60/50 (EP,US) 
Y02T10/64 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP,US) 
Y02T90/12 (US) 
Y02T90/14 (EP,US) 
Y02T90/40 (EP,US)";"2001-12-04";"2001-12-04";"024726791";
"306";"Hybrid electric vehicle energy management method based on driving behavior intention";"TAO FAZHAN 
GE ZEKUN 
FU ZHUMU 
LI MENGYANG 
WU YANG 
CHEN QIHONG 
ZHANG ZHONGCAI 
JIAO LONGYIN 
ZHANG DONGKAI 
SI PENGJU";"UNIV HENAN SCIENCE & TECH";"CN115056657A";"2022-06-24";"B60L50/40 
B60L50/75 
G06K9/62 
G06N3/08";"B60L50/40 (CN) 
B60L50/75 (CN) 
G06N3/08 (CN)";"2022-09-16";"2022-09-16";"083203078";
"307";"SOC estimation method of battery of electric vehicle";"QINGYONG DENG 
BIN DUAN 
YUNQIANG TAN 
ZHETAO LI 
YAN ZHANG 
LIGANG LIU";"UNIV XIANGTAN";"CN101964018A";"2010-08-26";"G06F19/00";"";"2011-02-02";"2011-02-02";"043516889";
"308";"VEHICLE AND METHOD OF RECHARGING BATTERY THEREIN";"PARK HYUN SOO [KR]";"HYUNDAI MOTOR CO LTD [KR]";"KR101910918B1 
KR20170068004A";"2015-12-09";"B60L11/18 
H01M10/42";"B60L3/0046 (EP,US) 
B60L53/00 (CN) 
B60L53/14 (EP,US) 
B60L53/60 (US) 
B60L53/66 (EP,US) 
B60L58/10 (CN) 
B60L58/14 (EP,US) 
H02J7/00306 (EP,CN,US) 
H02J7/0031 (CN) 
H02J7/0036 (EP,US) 
B60L2240/549 (EP,US) 
H02J2310/48 (EP,CN,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP,US) 
Y02T90/12 (EP,US) 
Y02T90/14 (EP,US) 
Y02T90/16 (EP,US)";"2017-06-19 
2018-10-23";"2017-06-14";"058773668";
"309";"Method for controlling battery charging by gas sensor";"XIA BAOJIA LOU [CN] 
BAOJIA XIA [CN] 
YUYUAN LOU [CN] 
NAIXIN XU [CN]";"SHANGHAI INST MICROSYS & INF [CN] 
SHANGHAI WANHONG POWER & ENERG [CN]";"CN100533843C 
CN1832246A";"2005-03-07";"H01M10/44 
H01M10/48";"Y02E60/10 (EP)";"2006-09-13 
2009-08-26";"2006-09-13";"036994324";
"310";"HYBRID ELECTRIC VEHICLE";"YAGI YOICHI";"NISSAN MOTOR";"JP3334587B2 
JPH11178116A";"1997-12-16";"B60L11/18 
H01M8/00 
H01M8/04 
B60K6/02 
B60K6/20 
B60L11/18 
B60W10/28 
B60W10/30 
B60W20/00 
H01M8/00 
H01M8/04";"Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"1999-07-02 
2002-10-15";"1999-07-02";"018479899";
"311";"Electric vehicle with two energy supply module sets";"ZHANG BO 
LIN DAOSONG";"SHANGYU ANKA TRAILER PARTS CO LTD 
LIN DAOSONG";"CN204279128U";"2014-10-17";"B60L11/18 
B60S5/06";"Y02T10/70 (EP)";"2015-04-22";"2015-04-22";"052862317";
"312";"Electric vehicle power system based on multi-stack fuel cells";"YIN GUODONG 
NIU JUNYAN 
ZHUANG WEICHAO 
XU LIWEI";"UNIV SOUTHEAST";"CN113386632A 
CN113386632B";"2021-07-30";"B60L50/75 
B60L58/33 
B60L58/40";"B60L50/75 (CN) 
B60L58/33 (CN) 
B60L58/40 (CN) 
Y02T10/70 (EP) 
Y02T10/72 (EP) 
Y02T90/40 (EP)";"2021-09-14 
2024-03-22";"2021-09-14";"077622263";
"313";"MOBILE CHARGING STATION FOR ELECTRIC CARS";"SOUČEK KAREL [CZ] 
HAJSKÝ LUBOŠ [CZ]";"DEVINN S R O [CZ]";"WO2023056997A1";"2021-10-05";"B60L53/35 
B60L53/54 
G05D1/00";"B60L53/30 (CZ) 
B60L53/35 (EP,CZ) 
B60L53/37 (CZ) 
B60L53/54 (EP) 
B60L53/57 (CZ) 
B60L2200/30 (EP) 
Y02T10/70 (EP,CZ) 
Y02T10/7072 (EP,CZ) 
Y02T10/72 (CZ) 
Y02T90/12 (EP)";"2023-04-13";"2023-04-13";"085803201";
"314";"Very low emission hybrid electric vehicle incorporating an integrated propulsion system including a fuel cell and a high power nickel metal hydride battery pack";"OVSHINSKY STANFORD R [US] 
STEMPEL ROBERT C [US]";"";"US2003207156A1";"2000-10-13";"B60L11/18 
H01M10/46 
H01M16/00 
B60L11/18 
H01M10/46 
H01M16/00";"B60L58/40 (EP,US) 
H01M10/345 (EP,US) 
H01M10/46 (EP,US) 
H01M10/613 (EP,US) 
H01M10/625 (EP,US) 
H01M10/66 (EP,US) 
H01M16/006 (EP,US) 
H01M8/186 (EP,US) 
B60L7/10 (EP,US) 
B60L8/00 (EP,US) 
B60L8/003 (EP,US) 
B60L8/006 (EP,US) 
H01M2250/20 (EP,US) 
Y02E60/10 (EP,US) 
Y02E60/50 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (US) 
Y02T90/40 (EP,US)";"2003-11-06";"2003-11-06";"029272919";
"315";"Vehicle control unit, electric vehicle, control method and device of electric vehicle and storage medium";"TIAN JUNLONG 
ZHANG QINGHUA 
CUI TIANYU";"WEISHI ENERGY TECH CO LTD";"CN117962642A";"2022-10-26";"B60L50/75 
B60L58/15 
B60L58/40";"B60L50/75 (CN) 
B60L58/15 (CN) 
B60L58/40 (CN) 
Y02T10/70 (EP)";"2024-05-03";"2024-05-03";"090858497";
"316";"BATTERY/FUEL CELL HYBRID SYSTEM AND ITS OPERATING METHOD";"CHAE JONG HYUN [KR]";"LG CHEMICAL LTD [KR]";"KR20150067485A";"2013-12-10";"H01M12/06 
H01M12/08";"B60L50/50 (KR) 
H01M12/06 (KR) 
H01M12/08 (KR) 
H01M16/003 (KR,US) 
H01M8/04708 (KR) 
H01M8/0656 (KR) 
H01M2008/1095 (KR) 
H01M2220/20 (KR) 
H01M2250/20 (KR) 
Y02E60/10 (EP,US) 
Y02E60/50 (EP) 
Y02T10/70 (EP)";"2015-06-18";"2015-06-18";"053515285";
"317";"POWER DISTRIBUTION SYSTEM";"LASHIN DMITRY [GB] 
ISAEV MICHAEL [RU]";"L CHARGE HOLDING LTD [GB]";"US2024157842A1";"2022-11-15";"B60K6/26 
B60K6/28 
B60L53/16 
B60L58/10";"B60K6/26 (US) 
B60K6/28 (US) 
B60L53/11 (EP) 
B60L53/14 (EP) 
B60L53/16 (US) 
B60L53/30 (EP) 
B60L53/302 (EP) 
B60L53/53 (EP,GB) 
B60L53/57 (EP,GB) 
B60L53/62 (EP) 
B60L53/63 (EP) 
B60L58/10 (US) 
H02J1/12 (EP) 
B60L2210/10 (US) 
B60Y2200/92 (US) 
H02J2310/48 (EP) 
H02J7/0013 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (GB)";"2024-05-16";"2024-05-16";"084840110";
"318";"BATTERY CONTROL METHOD FOR GENERATOR TYPE ELECTRIC AUTOMOBILE";"KOBAYASHI TETSUYA 
YAMASHITA TAKASHI 
KAWAI TOSHIYUKI";"DENSO CORP 
NIPPON SOKEN";"JP2000261905A 
JP3738363B2";"1999-03-05";"B60K6/00 
B60K8/00 
B60L11/12 
B60L3/00 
F02D29/06 
G01R31/36 
H02J7/00 
H02J7/34 
B60K6/20 
B60K6/28 
B60K6/445 
B60K8/00 
B60L3/00 
B60L50/15 
B60W10/26 
B60W20/00 
B60W20/13 
F02D29/06 
G01R31/36 
H02J7/00 
H02J7/34";"Y02T10/62 (EP) 
Y02T10/70 (EP)";"2000-09-22 
2006-01-25";"2000-09-22";"013109653";
"319";"Charging device and system";"WANG TENGFEI 
ZHUANG JIACAI 
ZHAO AN";"SUNGROW POWER SUPPLY CO LTD";"CN216929693U";"2021-12-22";"B60L53/12 
H02J50/12 
H02J7/00 
H02J7/10";"Y02T90/14 (EP)";"2022-07-08";"2022-07-08";"082255378";
"320";"Self-contained hydrogen power system for electric car charging station";"SOON PYO KWON 
JONG HWA KIM";"KWATERCRAFT [KR]";"KR102631615B1 
KR20230017328A";"2020-05-29";"B01D35/02 
B60L53/51 
B60L53/54 
B60L53/57 
B60L53/60 
C02F1/32 
C25B1/04 
C25B1/55 
H01M8/04082 
H01M8/04858 
H01M8/0656";"B01D35/02 (KR) 
B60L53/51 (KR) 
B60L53/54 (KR) 
B60L53/57 (KR) 
B60L53/60 (KR) 
C02F1/283 (KR) 
C02F1/32 (KR) 
C02F1/441 (KR) 
C02F1/52 (KR) 
C02F1/72 (KR) 
C25B1/04 (KR) 
C25B1/55 (KR) 
H01M8/04201 (KR) 
H01M8/0494 (KR) 
H01M8/04947 (KR) 
H01M8/0656 (KR) 
H02S10/20 (KR) 
H01M2250/20 (KR) 
Y02E10/50 (EP) 
Y02E60/32 (KR) 
Y02E60/36 (EP) 
Y02E60/50 (EP,KR) 
Y02E70/30 (EP) 
Y02P20/133 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP,KR) 
Y02T90/40 (KR)";"2023-02-03 
2024-02-05";"2021-12-08";"078867726";
"321";"Module type flatform for electric vehicle";"CHO HYUNG GEUN";"KORENSEM INC [KR]";"KR20220046909A";"2020-10-08";"B60K1/04 
B60L50/60 
B60L50/64 
B60L50/71 
B60L53/16 
B60L53/30";"B60K1/04 (KR) 
B60L50/64 (KR) 
B60L50/66 (KR) 
B60L50/71 (KR) 
B60L53/16 (KR) 
B60L53/305 (KR) 
B60Y2200/91 (KR) 
B60Y2400/112 (KR) 
Y02T10/70 (EP,KR) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/16 (EP,KR) 
Y02T90/40 (EP,KR)";"2022-04-15";"2022-04-15";"081212230";
"322";"ELECTRIC VEHICLE";"TAKESHITA TAKAHARU 
MAHAMUD ABDULNABI SYDE ABUDARA 
OHASHI TATSUYUKI";"FCC KK 
APARD CO LTD";"JP2022083136A 
JP7508044B2";"2020-11-24";"B60L50/60 
B60L58/20 
B60L7/14 
B60L9/18 
H02J7/00 
H02J7/02 
H02M7/48";"B60L15/20 (US) 
B60L15/2009 (EP,US) 
B60L50/40 (EP,US) 
B60L50/66 (EP,US) 
B60L58/12 (EP,US) 
B60L7/12 (EP,US) 
B60L7/14 (EP,US) 
B60L7/26 (EP,US) 
H02J7/1423 (US) 
H02M1/007 (EP) 
H02M3/158 (EP) 
H02M7/5395 (EP,US) 
H02P27/08 (US) 
B60L2200/12 (EP,US) 
B60L2240/421 (EP,US) 
B60L2240/423 (EP,US) 
B60L2240/547 (EP,US)";"2022-06-03 
2024-07-01";"2022-05-26";"081657891";
"323";"On -vehicle battery device of electric motor car";"ZHOU YONGJUN";"DONGGUAN LHT POWER TECH CO LTD";"CN205264773U";"2015-12-21";"B62M6/90 
H01M50/204 
H01M50/249 
H01M50/258";"Y02E60/10 (EP)";"2016-05-25";"2016-05-25";"056006282";
"324";"METHOD AND DEVICE FOR CONTROLLING ELECTRIC VEHICLE";"MITSU KIN 
TANAKA HIROKI 
OBATA TAKEAKI 
CHIKUGO HAYATO";"NISSAN MOTOR 
RENAULT SAS";"JP2021081375A 
JP7437920B2";"2019-11-22";"B60K6/46 
B60L3/00 
B60L50/15 
B60L50/61 
B60L50/75 
B60L58/12 
B60L58/30 
B60W20/12 
B60W20/15 
G01C21/34 
G08G1/0969 
H01M10/48 
H01M8/00 
H01M8/04 
H01M8/0432";"Y02E60/10 (EP) 
Y02E60/50 (EP) 
Y02T10/62 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/16 (EP) 
Y02T90/40 (EP)";"2021-05-27 
2024-02-26";"2021-05-27";"075964851";
"325";"DUAL CHARGING STATION";"VELEV OMOURTAG ALEXANDROV [US]";"FARADAY&FUTURE INC [US]";"US2018257499A1";"2016-09-23";"B60L11/18 
C25B9/17";"B60L53/14 (EP,US) 
B60L53/30 (US) 
B60L53/305 (EP,US) 
B60L58/30 (EP,US) 
C25B1/04 (EP,US) 
C25B9/17 (EP,US) 
B60L2240/72 (EP,US) 
H02J7/0013 (US) 
H02J7/342 (US) 
Y02E60/36 (EP,US) 
Y02P20/133 (EP,US) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/16 (EP) 
Y02T90/40 (EP)";"2018-09-13";"2018-09-13";"063446245";
"326";"Electric car";"WEI WU [CN]";"WEI WU [CN]";"CN101161516A";"2007-03-30";"B60S5/02";"";"2008-04-16";"2008-04-16";"039296518";
"327";"Power output control system for electric vehicle with hybrid fuel cell";"HSIAO JUI-SHENG [TW] 
WU CHIEN-TSUNG [TW] 
HSU CHI-TANG [TW] 
HUNG JIN-CHYUAN [TW] 
SHU PING-HUEI [TW]";"IND TECH RES INST [US]";"US2003105562A1";"2001-11-30";"B60L11/00 
B60L11/18";"B60L58/40 (EP,US) 
B60L2210/10 (EP,US) 
Y02T10/70 (EP) 
Y02T10/72 (EP,US) 
Y02T90/16 (EP,US) 
Y02T90/40 (US)";"2003-06-05";"2003-06-05";"025543547";
"328";"Electric automotive charging pile based on solar power generation";"GU LIMING 
ZHANG YU";"SHENZHEN LYUDIAN INFORMATION TECH CO LTD";"CN108099678A";"2018-01-13";"B60L11/18 
H02J7/35";"B60L53/30 (CN) 
B60L53/31 (CN) 
H02J7/35 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2018-06-01";"2018-06-01";"062220102";
"329";"Fuel battery electric vehicle";"DENGFENG GUAN [CN]";"DENGFENG GUAN [CN]";"CN201338692Y";"2009-01-07";"B60L11/18 
B62K11/00";"Y02T10/70 (EP)";"2009-11-04";"2009-11-04";"041234234";
"330";"800V gas-electric automobile high-voltage topology system";"XU KAI 
SUN YING 
XIONG BAOPING 
WU MINGLIAO 
SHEN JIANZHONG 
LI BO 
WEI BO 
XIONG JUNLIN 
MENG KANG 
ZHANG FENGLONG";"GUANGZHOU HAIPOTE TECH CO LTD";"CN221113539U";"2023-08-17";"B60L1/00 
B60L50/75 
B60L53/22";"";"2024-06-11";"2024-06-11";"091362662";
"331";"Hydrogen-electricity-heat multi-energy-flow micro-grid scheduling optimization method considering new energy automobile load";"XIE CHANGJUN 
ZHOU XIANYI 
DU BANGHUA 
YANG YANG 
ZHU WENCHAO 
WANG ZHEWEI 
WANG HAN 
YANG WENLONG 
LI XIZHI 
CAO JUNHUI 
LI ZIHAO";"UNIV WUHAN TECH";"CN117952354A";"2024-01-09";"G06Q10/0631 
G06Q50/06";"G06Q10/06312 (CN) 
G06Q10/06313 (CN) 
G06Q50/06 (CN)";"2024-04-30";"2024-04-30";"090793811";
"332";"Intelligent inspection fire-fighting robot for battery energy storage station";"YI YONGLI 
LI CHU 
ZHAO PU 
LI WU 
CAO HUI 
LEI HUAN 
ZHANG LEI 
YOU YUGAN 
GONG XIANHE 
JIANG YONGKANG 
YU XURAN 
WU BIN";"STATE GRID ZHEJIANG PROVINCE ELECTRIC POWER LTD COMPANY WENZHOU POWER SUPPLY COMPANY 
ZHEJIANG PROVINCE ELECTRIC POWER LTD COMPANY OF STATE GRID 
STATE GRID CORP CHINA";"CN216295055U";"2021-09-01";"A62C27/00 
A62C3/16 
A62C37/40";"";"2022-04-15";"2022-04-15";"081089114";
"333";"Nickel-metal hydride secondary battery";"KITAYAMA HIROSHI [JP] 
HAYASHIDA HIROTAKA [JP] 
YAMAMOTO MASAAKI [JP] 
BANDO NAOMI [JP] 
MIYAMOTO KUNIHIKO [JP] 
SUZUKI HIDEHARU [JP]";"TOSHIBA BATTERY [JP] 
TOSHIBA KK [JP]";"US6399247B1";"1999-02-26";"H01M10/22 
H01M4/32 
H01M10/26 
H01M10/30 
H01M10/34 
H01M4/24 
H01M4/32 
H01M4/38 
H01M4/52 
H01M50/454 
H01M4/36 
H01M4/62 
H01M6/04";"H01M10/26 (EP,US) 
H01M10/345 (EP,US) 
H01M4/366 (EP,US) 
H01M4/383 (EP,US) 
H01M4/52 (EP,US) 
H01M50/454 (EP,US) 
H01M6/045 (EP,US) 
H01M4/624 (EP,US) 
Y02E60/10 (EP)";"2002-06-04";"2000-08-30";"027462350";
"334";"STATIONARY POWER STORAGE SYSTEM, AND CONTROL METHOD";"ICHIKAWA KOICHI 
TAKAHASHI YASUHIRO";"TOYOTA MOTOR CORP";"JP2014166015A 
JP5812025B2";"2013-02-25";"H01M10/44 
H01M10/48 
H02J7/02";"H02J7/0016 (EP,US) 
Y02T10/70 (EP,US)";"2014-09-08 
2015-11-11";"2014-08-27";"051370057";
"335";"Hydrogen-electricity double-drive range-extending type hybrid electric vehicle";"LOU XIAODONG 
LOU YANBIN";"LOU XIAODONG";"CN116767175A";"2021-05-07";"B60L50/30 
B60L50/75 
B60W20/15 
B60W20/50";"";"2023-09-19";"2023-09-19";"088008560";
"336";"Power hydrogen charging integrated station locating and sizing method and device considering power distribution network constraint";"YUAN TIEJIANG 
JI LI 
YANG HENG 
TIAN XUEQIN 
YANG FUYUAN";"UNIV DALIAN TECH 
STATE GRID ECONOMIC AND TECH RESEARCH INSTITUTE CO LTD 
ELECTRIC POWER RES INST STATE GRID LIAONING ELECTRIC POWER CO LTD 
STATE GRID CORP CHINA";"CN115796538A";"2022-12-09";"G06N3/006 
G06N3/04 
G06Q10/04 
G06Q10/0631 
G06Q50/06";"";"2023-03-14";"2023-03-14";"085418097";
"337";"Multifunctional mobile charging vehicle";"SHA DEFU";"CHEJIXIU CAR TECH CO LTD";"CN206633843U";"2017-04-18";"B60L11/18 
B60P3/00 
B60R3/02";"Y02T10/70 (EP)";"2017-11-14";"2017-11-14";"060246670";
"338";"Charging pile using methanol water reforming hydrogen production power generation as standby power supply";"GAO JIMING 
TANG CHONGQI 
ZHANG LICHUN";"GUANGDONG CREATE TECH CO LTD";"CN213228365U";"2020-06-03";"B60L53/16 
B60L53/31 
B60L53/54 
H01M8/0612";"Y02B90/10 (EP) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP)";"2021-05-18";"2021-05-18";"075883977";
"339";"FUEL CELL DEVICE FOR ELECTRIC VEHICLE";"TAKEI RIKI 
MIZUSHITA YOSHINORI 
HIRAMITSU YUSUKE 
MIYAMOTO AKIHITO 
NAKANE KAZUYOSHI 
WATANABE TETSUYA 
TASHIRO KEISUKE";"MITSUBISHI MOTORS CORP";"JP2018085308A";"2016-11-25";"B60L11/18 
H01M8/00 
H01M8/04225 
H01M8/04302 
H01M8/10";"Y02E60/50 (EP)";"2018-05-31";"2018-05-31";"062237706";
"340";"Network operation method for charging batteries of electric automobile by three-wire double-ammeter low-price electricity";"TIELIANG WANG 
HUA WANG";"BEIJING CREATIVE WUXIAN SOFTWA";"CN101527373A";"2008-05-19";"B60L11/18 
H01M10/42 
H01M10/44 
H02J7/00";"Y02E60/10 (EP)";"2009-09-09";"2009-09-09";"041095129";
"341";"Extended-range electric vehicle power system";"FANG YAOPING 
CHEN RUOSI 
LIU LIQING";"SHENZHEN BIMEGA ELECTRONIC LTD COMPANY";"CN114312297A";"2022-02-24";"B60K1/04 
B60K17/16 
B60K6/48 
B60L50/60 
B60L50/71 
B60L8/00";"Y02T10/62 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/40 (EP)";"2022-04-12";"2022-04-12";"081029709";
"342";"HYDROGEN HYBRID ENERGY STORAGE SYSTEM";"AHMAD REZAL KHAIRI BIN [MY] 
ZOLKIPLI MOHAMAD HAFIZ BIN [MY] 
ABDULLAH MOHAMAD SHAZWAN BIN [MY] 
SULAIMAN MOHD TAUFIK BIN [MY] 
PARDAMAN SINGH JAGJEET SINGH A/L [MY]";"NANOMALAYSIA BERHAD [MY]";"WO2023038514A1";"2021-09-08";"B60L58/40 
H01M8/10";"B60L50/40 (EP) 
B60L50/75 (EP) 
B60L58/20 (EP) 
B60L58/40 (EP) 
H01M10/0525 (EP) 
H01M16/003 (EP) 
H01M16/006 (EP) 
H01M8/04201 (EP) 
H01M8/1007 (EP) 
B60L2210/14 (EP) 
H01M2008/1095 (EP) 
H01M2220/20 (EP) 
H01M2250/20 (EP) 
H01M2250/402 (EP) 
Y02E60/50 (EP)";"2023-03-16";"2023-03-16";"085506875";
"343";"Low-voltage DC Converter";"MA SE HYUN 
LEE CHUNG YEOL 
YUN HEUI BOG 
YOUN TAE BONG 
KOO DUEK JIN 
LIM IN SEOP";"KOREA TRIAXLE CO LTD [KR] 
MIRAE E & I CO LTD [KR]";"KR20210115215A";"2020-03-12";"B60L53/24 
B60L58/12 
H02J7/34 
H02M1/14 
H02M3/335";"B60L53/24 (KR) 
B60L58/12 (KR) 
H02J7/342 (KR) 
H02M1/14 (KR) 
H02M1/44 (KR) 
H02M3/33507 (KR) 
B60L2240/527 (KR) 
B60L2240/547 (KR) 
B60Y2200/90 (KR) 
H02J2207/20 (KR) 
Y02T10/70 (EP,KR) 
Y02T10/7072 (EP) 
Y02T10/92 (EP) 
Y02T90/14 (EP) 
Y02T90/16 (EP)";"2021-09-27";"2021-09-27";"077925553";
"344";"ELECTRIC VEHICLE SERVICE STATION";"ROSSI LORENZO [CA] 
ROSSI STEVEN [CA]";"WORKSPORT LTD [CA]";"US2024278670A1";"2021-06-14";"B60L53/14 
B60L53/54 
B60L58/30";"B60L53/14 (US) 
B60L53/53 (EP) 
B60L53/54 (EP,US) 
B60L53/57 (EP) 
B60L53/68 (EP) 
B60L58/30 (US) 
H02J15/008 (EP) 
H02J7/0013 (EP) 
H02J7/0048 (EP) 
H02J7/34 (EP) 
H02J7/342 (EP) 
H02J2310/48 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2024-08-22";"2022-12-22";"084526192";
"345";"Energy output management method of hybrid electric vehicle based on battery aging";"ZHANG LIYAN 
TANG BOLAN 
CHEN QIHONG 
XIAO PENG 
ZHOU KELIANG";"UNIV WUHAN TECH";"CN115339330A 
CN115339330B";"2022-09-07";"B60L50/40 
B60L50/75 
B60L58/40";"B60L50/40 (CN) 
B60L50/75 (CN) 
B60L58/40 (CN) 
B60L2240/549 (CN) 
Y02T10/70 (EP)";"2022-11-15 
2024-08-09";"2022-11-15";"083955039";
"346";"POWER SYSTEM";"LEE SEUNGWOON [KR] 
KIM SEONGHYEON [KR]";"LS ELECTRIC CO LTD [KR]";"WO2023210968A1";"2022-04-27";"B60L53/60 
B60L53/66 
B60L58/40";"B60L53/60 (EP,KR) 
B60L53/66 (EP) 
B60L53/665 (KR) 
B60L58/40 (EP,KR) 
B60L2260/54 (KR) 
B60Y2200/91 (KR) 
Y02E60/50 (KR) 
Y02T10/70 (KR) 
Y02T90/12 (KR)";"2023-11-02";"2023-11-02";"088519223";
"347";"WATERBORNE MOBILE DEVICE FOR CHARGING ELECTRIC VEHICLES";"LASHIN DMITRII ALEKSANDROVICH [RU]";"LASHIN DMITRII ALEKSANDROVICH [RU]";"WO2024019633A1";"2022-07-22";"B60K15/03 
B60L53/50 
B60L58/22 
B60L58/24 
B63B35/00";"B60K15/03 (EP) 
B60L53/50 (EP) 
B60L58/22 (EP) 
B60L58/24 (EP) 
B63B35/00 (EP)";"2024-01-25";"2024-01-25";"089618382";
"348";"Drive-by-wire drive and brake coordination control method for hybrid electric vehicle";"TIAN SHAOPENG 
CHEN JING 
XIAO CHUN 
WANG YUNING 
YANG CAN 
QIN GUOFENG 
LAN XIANBAO 
CHEN ZHENGLONG";"FOSHAN XIANHU LABORATORY";"CN112590759A 
CN112590759B";"2020-12-21";"B60L50/70 
B60L50/75 
B60W10/06 
B60W10/08 
B60W10/18 
B60W10/26 
B60W10/28 
B60W20/14 
B60W20/40";"B60L50/70 (CN) 
B60L50/75 (CN) 
B60W10/06 (CN) 
B60W10/08 (CN) 
B60W10/18 (CN) 
B60W10/26 (CN) 
B60W10/28 (CN) 
B60W20/14 (CN) 
B60W20/40 (CN) 
Y02T10/62 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2021-04-02 
2022-05-03";"2021-04-02";"075199599";
